Entry_name,GH,DMY_H1_kgperha,PH_H2,DMY_H2_kgperha,PH_H3,DMY_H3_kgperha
G113,3.75,1341.66,16.01,5353.91,24.62,2980.64
G114,6,NA,9.26,1267.74,22.87,1066.45
G115,5,1395.45,14.76,3741.28,28.62,2519.84
G116,4.25,NA,14.01,3251.59,29.12,4377.83
G117,5,1220.37,17.01,4722.04,32.87,3957.01
G118,5,318.33,12.76,3076.86,30.12,4067.48
G119,4,1325.01,12.51,3802.56,26.87,2188.81
G120,4,2716.03,15.01,NA,26.12,4178.62
G121,6,752.13,12.76,2682.7,19.12,490.73
G122,5,1936.52,13.01,3008.27,23.12,1972.23
G123,5,1707.41,14.76,NA,24.62,2155.31
G124,2.25,NA,17.26,NA,26.37,2982.1
G125,5.5,1316.39,12.51,2952.36,24.87,1481.64
G126,4.75,1624.9,12.51,3511.21,23.37,1094.44
G127,4.75,1508.17,13.51,4231.93,23.37,2014.36
G128,3,402.75,13.76,2683.51,31.62,NA
G129,4,1852.12,18.01,3723.24,26.87,4172.2
G130,7,589.94,13.76,1909.98,19.62,1874.46
G131,4.5,1818.79,15.51,NA,28.87,3731.06
G132,6.5,2065.71,16.01,2686.84,23.37,NA
G133,5,1806.95,18.01,4340.17,NA,5197.73
G134,5,1986.37,12.51,2474.85,21.87,1459.16
G135,4,2016.71,19.76,NA,23.62,2638.96
G136,5,662.43,11.76,4236.97,25.62,1187.05
G137,5,1019.53,15.76,NA,23.62,1045.98
G138,6,408.17,15.01,2872.47,30.12,3565.52
G139,3,2103.24,19.26,5055.38,21.87,2233.98
G140,4,1379.05,13.51,4446.73,20.87,1414.92
G141,6.5,NA,15.01,3304.97,21.37,459.25
G142,5.25,1238.38,12.76,2839.94,23.87,290.37
G143,5.25,1192.56,11.01,3331.57,21.12,332.36
G144,4,877.56,16.76,3724.93,24.62,1161.29
G145,2.75,2398.68,16.51,2958.74,26.37,4213.74
G146,5,1802.35,12.51,3579.41,24.87,621.33
G147,5,NA,14.51,3331.42,25.87,1417.71
G148,5,866.88,11.26,3628.86,17.87,1109.9
G149,6.5,923.05,14.01,4046.67,29.37,2240.17
G150,2.75,1314.83,17.01,4929.77,26.62,3318.02
G151,3,1632.62,17.76,3939.69,26.62,5079.54
G152,2.75,1669.87,20.01,5229.87,20.62,2043.63
G153,5.25,248.58,11.01,1422.04,19.12,254.92
G154,4,1576.23,15.51,2884.56,22.87,968.3
G155,2.5,1801.03,14.01,1343.04,NA,NA
G156,4,1600.38,15.51,2459.9,20.87,1249.91
G157,4.75,1914.88,11.51,2155.38,20.38,749.26
G158,5.5,502.62,11.01,443.33,23.12,NA
G159,4,2163.53,10.01,1594.97,21.12,630.78
G160,6.5,1127.49,13.01,3739,28.37,1942.23
G161,6,983.16,17.76,4479.04,21.62,865.24
G162,5,1294.93,16.01,3024.05,21.12,1421.63
G163,4.25,1353.5,13.76,4468.17,25.87,2786.37
G164,5,1472.36,14.51,5410.88,28.87,2678.06
G165,6,1373.54,12.51,1273.58,21.87,1092.11
G166,4.75,1201.19,13.51,4143.17,30.37,2376.05
G167,5,1121.89,14.26,NA,15.87,1642.44
G168,4.5,2025.39,14.51,NA,17.88,NA
G169,6,1099.63,14.26,3939.67,16.87,1702
G170,4,1377.94,14.01,2515.07,28.12,1237.47
G171,2.75,2552.53,19.26,NA,25.62,4597.13
G172,4,2120.45,17.01,NA,22.12,2044.89
G173,4.5,NA,14.01,3252.05,16.37,814.4
G174,5,1333.93,15.76,2227.61,29.62,940.42
G175,2.75,1749.13,17.01,5187.49,22.62,2054.17
G176,5.25,NA,14.76,4623.3,23.87,1298.22
G177,5,1826.04,13.51,2938.14,19.87,623.6
G178,4.5,NA,17.76,3810.87,19.37,425.4
G179,3.5,NA,16.76,NA,20.37,1400.4
G180,4,NA,14.76,NA,20.62,1593.41
G181,5.25,937.95,14.01,2931.78,27.12,1231.21
G182,5,1848.53,18.76,NA,26.62,565.05
G183,5,1751.93,15.51,3862.1,24.87,1296.08
G184,5,563.64,11.26,2485.81,21.87,685.62
G185,5,1585.88,13.26,3252.93,25.87,872.39
G186,4.5,1410.94,18.01,1500.35,33.12,792.89
G187,5.5,701.77,11.51,3549.06,31.87,5025.88
G188,4,2656.39,13.01,3766.33,22.12,1499.97
G189,5,2351.29,11.01,1946.87,25.12,1425.02
G190,4.5,1329.87,16.01,3076.45,30.37,NA
G191,5,2236.23,15.76,4313.66,21.12,274.97
G192,7.5,NA,10.76,2233.78,24.37,3252.78
G193,4.5,1782.3,18.01,NA,27.12,2223.24
G194,5,2198.58,11.01,2077.9,22.87,1015.11
G195,5,NA,17.01,2710.59,21.12,335.81
G196,4.25,568.68,16.76,4308.42,21.87,1874.06
G197,5,1931,18.51,4358.07,20.87,1316.67
G198,2.25,2338.64,18.26,4725.38,27.37,1950.16
G199,4.25,1447.77,16.01,3612.34,21.12,339.3
G200,6.25,1084.71,10.26,1010.27,32.37,2174.93
G201,5,1747.46,14.26,2520.08,30.13,1347.42
G202,6,1919.76,12.76,3183.81,25.12,2946.8
G203,5,2381.93,16.01,3978.21,21.87,2675.43
G204,5,1676.25,13.76,4724.49,22.12,2139.24
G205,5,1716.85,11.51,1589.86,27.87,962.51
G206,4,NA,17.51,4106.16,28.87,2383.51
G207,5,2431,19.01,NA,26.12,2146.47
G208,4.25,1736.25,11.26,2085.32,25.37,1034.57
G209,5,2723.84,14.51,721.76,19.87,NA
G210,3,1992.78,19.01,4627.61,25.87,3201.72
G211,5,2342.05,16.51,4649.64,24.87,2722.76
G212,3.5,1383.38,15.01,4669.57,27.12,2894.48
G213,3.25,NA,16.76,NA,27.87,2935.41
G214,5.25,NA,12.76,5279.73,25.87,2698.62
G215,4.25,1342.58,18.01,NA,24.12,2667.57
G216,3.75,2288.99,18.51,3683.41,32.37,4772.36
G217,3.75,1714.56,16.51,NA,26.37,2233.81
G218,3.75,NA,20.51,4627.45,26.37,1870.36
G219,4,NA,19.51,4958.43,25.87,1492.6
G220,3,1065.28,14.76,2275.85,31.62,1203.59
G221,4,2615.34,16.26,5173.69,24.87,2567.54
G222,4,2165.15,17.26,5119.21,21.87,1606.37
G223,4,1718.42,14.01,3113.13,27.12,3747.05
G224,3.5,NA,18.76,5311.5,26.37,1753.88
G225,2,NA,21.26,5245.12,16.87,837.64
G226,5.25,1114.33,12.76,2427.76,19.87,341.78
G227,4.5,1781.99,12.01,2295.61,18.37,1926.68
G228,3.5,NA,17.76,4592.64,24.37,3650.35
G229,4.75,1931.21,17.26,4799.07,23.62,2406.78
G230,4.5,1728.93,17.01,4449.83,28.12,2976.47
G231,4.25,2587.03,15.26,3204.65,27.37,3007.25
G232,5,NA,14.51,3749.89,23.87,442.88
G233,4.5,2115.54,15.01,NA,28.37,1304.75
G234,2.25,2558.74,13.26,2724.05,21.37,1385.89
G235,4,951.81,13.76,3517.07,24.12,2271.5
G236,4.5,2706.89,16.01,5667.07,25.37,2254.61
G237,6,1546.08,12.51,4014.86,28.87,4643.19
G238,5,1205.65,18.76,NA,32.62,4267.18
G239,6,442.26,10.51,2221.62,25.87,1733.31
G240,2.25,1778.11,12.26,3835.67,27.37,3543.82
G241,7,NA,9.26,770.96,25.12,2655.15
G242,4,1498.7,15.26,2716.1,31.12,4886.11
G243,6.5,815.83,10.51,3427.47,28.87,4883.93
G244,5,800.25,15.01,3948.18,24.87,4300.3
G245,3.75,1507.64,19.26,NA,18.62,2619.16
G246,5,1605.62,12.01,2019.18,28.12,4466.88
G247,4.25,1536,15.26,NA,23.37,4593.07
G248,4,1573.76,12.76,4629.82,22.62,3640.53
G249,3.75,1284.38,16.26,5158.72,23.62,4323.17
G250,3.75,NA,16.01,NA,20.62,1460.15
G251,4.25,1385.32,12.26,3146.21,24.37,2306.57
G252,5.25,2004.89,11.76,4089.97,24.87,2902.68
G253,6.5,831.53,11.76,1376.82,24.37,352.69
G254,6,960.75,14.26,NA,26.12,3133.28
G255,4,1888.65,15.76,3566.03,NA,391.69
G256,4,885.95,10.76,1390.69,20.62,NA
G257,2.75,1804.92,17.01,4725.55,19.62,2850.47
G258,2.75,524,14.26,3557.68,NA,NA
G259,5,995.95,16.76,2783.66,23.12,1404.85
G260,6,704.02,15.76,4701.54,22.12,2377.31
G261,4,2260.97,16.01,3826.49,18.87,NA
G262,4,1511.26,15.01,2830.63,21.12,1870.03
G263,4.25,1768.94,14.76,4047.83,24.87,NA
G264,2.25,1431.35,18.26,5084.27,21.37,2283.93
G265,5,1846.23,13.26,3474.04,18.12,632.16
G266,6.25,252.21,13.01,2486.24,25.12,NA
G267,4.5,1662.36,15.01,2838.03,20.37,220.16
G268,4,2474.31,11.51,2639.76,23.87,1570.28
G269,4,1772.49,12.76,2899.06,24.62,2184.04
G270,5,535.55,17.26,692.83,22.12,1089
