Entry_name,GH,PH_H1,GC_PreH1,DMY_H1_kgperha,PH_H2,GC_PreH2,DMY_H2_kgperha,PH_H3,GC_PreH3,DMY_H3_kgperha
G69,3.14,67.6,7.95,2704.85,32.31,4.77,1124.27,47.38,6.39,3420.13
G70,4.58,55.68,6.41,2077.02,43.89,5.1,1686.02,44.23,5.71,1650.22
G71,6.11,60.58,8.01,2548.67,38.39,6.76,2251.89,50.8,5.31,2329.09
G72,6.45,50.85,7.48,2387.01,46.04,6.17,2030.86,47.25,4.36,2015.04
G73,6.04,49.65,7.12,2137.17,40.93,6.35,2052.35,47.71,6.27,2076.27
G74,5.97,48.88,7.64,2116.62,45.95,6.32,2193.2,51.09,5.23,2358.77
G75,7.13,51.01,8.02,2053.35,30.36,6.94,1956.01,43.17,4.56,2403.78
G76,4.19,47.85,6.02,523.26,32.57,7.4,781.22,48.63,5,1838.01
G77,5.96,48.89,6.57,2138.9,37.27,5.8,2296.91,54.12,5.54,2760.23
G78,4.64,62.84,7.46,2645.52,32.41,7.53,1725.77,50.59,7.12,2612.51
G79,3.66,55.92,7.42,2418.88,43.2,5.84,1881.32,48.11,3.49,2139.85
G80,5.15,48.6,7.06,2239.8,36.18,5.79,1669.03,46.84,5.03,2235.92
G81,2.79,75.53,7.44,2968.24,31.53,4.93,1100.82,48.63,4.62,1352.8
G82,4.44,62.08,6.56,2230.98,44.36,6.15,1777.1,52.12,3.31,1495.16
G83,5.52,58.58,7.54,2629.52,46.88,6.41,1535.58,42.98,3.59,1425.61
G84,5.9,54.15,7.99,2499.85,51.14,5.56,2012.47,48.84,4.82,2054.85
G85,5.95,60.36,7.91,2211.63,41.54,7.09,2062.13,43.83,4.49,2504.6
G86,5.62,50.97,7.12,1383.06,34.72,7.17,1611.75,53.29,6.78,3373.38
G87,7.5,48.82,7.52,1559.57,44.42,7.81,1940.96,59.54,6.26,2910.17
G88,4.52,56.89,7.04,2560.72,34.18,6.41,1374.06,46.79,6.59,2526
G89,6.53,45.77,6.9,1426.18,35.64,7.17,1924.99,53.08,6.24,3224.61
G90,4.5,44.68,5.55,1669.2,34.4,6.71,829.97,44.29,5.71,1814.51
G91,4.99,61.56,7.65,2244.46,40.91,6.31,2086.87,52.27,5.06,2670.11
G92,3.6,52.35,8.02,2953.7,45.6,5.59,1658.28,53.28,4.08,1788.81
G93,6.03,62.39,8.43,2360.29,29.45,5.52,1853.37,40.22,6,2074.2
G94,5.02,57.97,7.11,1964.07,38.9,6.81,2011.31,49.05,5.19,2240.21
G95,5.49,52.57,7.42,1996.01,39.74,7.49,2245.08,43.59,5.69,2456.53
G96,5.96,58.73,8.12,2684.57,38.54,7.23,1798.51,36.96,6.24,2098.42
G97,4.9,62.42,7.5,2960.24,35.53,6.54,1337.47,40.8,5.88,2001.27
G98,3.51,66.46,7.98,2809.91,32.42,5.83,1796.3,40.63,5.68,2026.95
G99,5.37,58.5,7.96,2579.92,34.8,6.53,1717.62,49.27,5.88,2073.51
G100,6,56.48,6.89,2534.1,40.25,5.42,1916.38,51.28,5.65,2335.73
G101,4.88,53.34,7.46,3192.84,32.02,5.9,1174.64,47.13,5.84,2291.88
G102,4.42,65.47,7.95,2673.72,35.65,6.11,1847.21,43.91,5.39,1706.04
G103,4.64,61.56,6.43,2013.42,34.43,5.42,1051.25,36.46,5.41,2188.99
G104,7.03,48.89,7.39,2057.35,38.37,7.05,1803.34,50.88,7.3,2078.46
G105,5.91,66.29,6.9,2321.18,39.42,7.12,1888.66,46.77,5.26,1525.33
G106,4.52,70.01,7.51,2889.92,36.2,6.79,2020.4,44.94,4.38,1957.56
G107,7.51,51.26,7.92,1449.88,27.1,7.16,1494.71,50.13,5.77,2750.98
G108,6.49,50.31,8.46,2174.28,36.82,6.95,1507.01,48.71,6.61,2259.87
G109,4.47,52.37,6.39,2371.73,40.61,6.2,1890.22,53.76,6.46,3116.96
G110,5.42,55.74,7.04,1805.1,34.45,5.5,1422.98,57.98,5.39,2403.73
G111,3.49,69.62,7.48,2986.4,31.01,6.67,1224.04,41.92,5.29,2054.58
G112,3.09,67.33,6.03,2943.8,32.67,4.66,1245.9,45.27,4.57,1273.71
G113,5.09,59.87,7.97,1689.38,35.48,8.18,1684.82,49.4,6.62,2249.18
G114,5.88,53.77,5.96,1491.09,38.79,6.9,1607.57,42.34,5.98,2138.91
G115,4.53,61.98,7.56,3041.96,32.41,6.26,1604.46,41.27,6.36,1617.11
G116,6.05,56.19,7.48,2493.07,36.73,6.55,1454,45.88,6.16,1922.36
G117,5.46,50.28,6.48,1599.28,39.95,5.99,941.99,48.05,5.25,2139.14
G118,6.02,47.33,7,2413.31,36.6,6.05,2142.52,44.85,5.47,2374.03
G119,4.58,57.65,7.49,2962.3,38.63,7.19,1613.37,48.74,6.37,2876.11
G120,7.09,44.25,7.47,1580.4,31.36,6.36,1113.32,52.44,5.94,2961.77
G121,4.57,70.48,8.03,3357.86,36.82,5.59,1291.94,36.47,5.06,1639.13
G122,6.45,50.83,7.9,1966.66,35.52,6.87,1605.41,59.55,7.49,3312.26
G123,5.49,55.03,7.53,1811.6,39.19,6.02,1655.65,52.58,5.73,2633.27
G124,4.48,50.89,6.14,2406.14,45.42,5.64,1472.32,51.44,5.73,2050.53
G125,5.88,59.64,7.44,2648.31,39.65,6.45,1491.97,48.32,6.12,1758.93
G126,5.57,50.84,7.94,1970.71,41.79,6.28,1937.68,38.64,3.77,1481.98
G127,4.44,56.33,7.48,2522.55,41.04,5.88,1526.06,49.38,5.81,1363.53
G128,6,56.42,8.15,2552.81,32.13,6.93,1665.99,53.14,6.5,3284.89
G129,4.54,53.34,7.95,3185.65,35.53,6.6,1862.76,39.31,5.91,2606.95
