Entry_name,GH,PH_H1,GC_PreH1,DMY_H1_kgperha,PH_H2,GC_PreH2,DMY_H2_kgperha,PH_H3,GC_PreH3,DMY_H3_kgperha
G288,6.04,55.05,5.91,2001.9,36.36,5.35,1688.03,44.15,4.98,1416.82
G289,6.04,51.44,7.95,2897.36,36.27,6.18,1871.71,52.7,5.3,2246.73
G290,4.97,60.44,9.08,3071.41,41.29,6.08,1699.47,47.04,6.26,2734.85
G291,4.41,59.49,7.52,2617.16,37.15,5.62,1437.47,53.37,5.82,2901.14
G292,7.52,44.35,7.15,771.41,28.84,6.31,1081.12,56.68,7.49,3085.88
G293,4.88,59.27,7.46,2241.66,37.94,5.4,1769.9,47.42,5.98,1921.85
G294,6.93,45.84,7.5,1227.02,33.42,6.49,1305.6,48.03,6.66,2525.31
G295,5.85,50.31,6.01,1945.75,43.68,5.39,1421.88,45.95,5.31,2354.54
G296,5.94,50.75,6.52,1674.17,40.32,6.11,1576.28,48.88,5.26,2276.24
G297,5.54,53.1,6.92,2435.64,36.81,6,2049.65,45.98,5.65,2319.7
G298,6.5,47.14,6.94,1550.91,34.82,7.19,1684.98,60.22,6.32,3064.69
G299,6.51,44.87,7.12,407.4,33.89,7.89,1174.2,60.56,7.9,3093.82
G300,5.98,51.86,6.54,1927.8,39.43,6.54,1769.4,47.93,6.02,2598.32
G301,5.05,56.67,7.4,3031.61,45.76,6.13,1863.39,52.61,5.82,3017.46
G302,6.03,54.62,6.61,1409.3,35.75,5.96,1193.37,52.36,6.18,3126.58
G303,4.94,56.53,6.54,2440.19,38.37,6.63,1318.53,43.43,6.04,2764.3
G304,5.51,57.44,6.52,2044.29,36.81,6.25,2065.12,41.03,4.64,1348.16
G305,6.49,39.33,7.56,1693.74,38.85,6.51,1702.57,49.24,6.63,1366.18
G306,4.56,67.9,8.45,3409.14,35.26,6.23,1499.34,44.68,6.24,2547.35
G307,5.52,55.68,7.93,2717.05,44.56,5.92,1784.02,45.6,5,2421.63
G308,6.94,47.85,8.48,1886.85,43.19,9.12,2233.22,45.07,7.45,2654.62
G309,6.07,50.75,7.45,1729.09,39.22,7.35,1567.59,47.95,6.54,2924.25
G310,5.42,57.99,8.61,2436.76,34.2,6.8,1722.16,47.6,5.92,2350.33
G311,5.14,57.68,7.59,1480.29,33.97,7.07,1148.64,54.29,6.99,2610.95
G312,6.57,51.52,7.64,1478.35,42.76,7.91,2291.05,53.17,6.52,2552.41
G313,7.44,52.32,7.99,1336.52,43.64,7.36,2295.11,46.85,5.37,1491.19
G314,6.94,57.42,6.92,2046.97,41.19,7.67,1172.61,46.87,6.7,1568.74
G315,5.9,59.64,7.52,2541.69,33.54,7.28,2009.09,47.83,6.58,2862.17
G316,6.06,62.82,6.45,2010.77,34.4,5.36,1553.79,47.21,6.03,2293.55
G317,5,57.92,7.48,1802.28,44.47,6.78,2022.89,46.61,4.94,1776.17
G318,5.62,42.9,6.01,777.92,44.57,6.63,1697.59,52.53,6.32,2643.41
G319,5.87,56.82,8.43,1940.81,36.65,7.49,1573,62.74,6.89,2526.84
G320,4.84,51.93,5.96,1086.05,40.28,6.4,1156.7,52.33,6.05,1893.63
G321,4.45,54.76,6.99,1605.08,40.99,6.02,1605.41,54.24,5.64,2415.04
G322,8.54,38.73,8.49,1306.27,28.85,7.48,1588.6,53.96,7.04,3075.65
G323,5.99,44.91,6.93,1043.02,36.77,7.7,1510.11,51.64,6.42,2256.93
G324,4.9,53.04,6.54,3314.05,40.29,7.03,1548.12,49.27,6.18,2586.71
G325,4.85,51.58,7.51,2164,36.9,6.89,1754.13,55.26,4.31,2230.39
G326,7.46,55.44,7.97,1316.46,29.65,6.96,1179.24,49.05,5.4,1906.74
G327,6.4,46.33,6.5,1836.96,41.88,6.54,1626.63,53.93,5.88,2515.02
G328,6.59,39.28,6.72,2312.9,36.28,5.77,2168.85,45.38,4.85,2119.06
G329,6.06,45.34,6.99,1717.28,36.7,7.06,2272.73,53.37,4.21,2355.77
G330,4.96,62.53,6.46,2038.92,38.95,5.99,1496.71,51.07,4.71,1718.11
G331,6.92,41.46,7.03,1465.19,26.71,6.98,1299.9,50.33,7.39,3063.21
G332,6.52,45.9,7.46,1378.98,38.4,6.95,1491.34,54.45,5.35,3438.72
G333,5.07,52.29,6.92,2165.06,40.01,6.14,1700.74,55.74,5.3,2430.83
G334,6.06,49.61,7.52,2498.7,36.16,5.73,1547.87,53.73,4.87,2196.98
G335,5.51,61.8,6.03,2956.32,31.92,5.93,1566.02,42.03,5.38,1658.9
G336,8.02,42.58,7.68,1324.14,39.84,7.44,1967.36,52.22,6.21,2378.87
G337,6.01,45.84,7.51,1771.19,31.22,5.73,1140.93,53.12,6.55,2592.05
G338,5.48,53.51,7.47,2061.1,46.21,6.56,2460.53,51.89,5.69,2132.33
G339,6.81,46.44,7.52,2016.57,36.41,8.07,2074.19,45.4,6.31,2958
G340,5.56,48.45,7.47,2075.71,40.86,5.73,1502.46,57.82,5.88,3045.25
G341,5.53,55.26,7.02,2275.3,40.59,6.26,1639.06,49.27,6.14,2657.57
G342,5.52,63.66,7.54,2824.71,39.26,6.91,2011.85,45.52,5.09,1486.04
G343,7.03,45.46,7.46,1718.53,38.01,7.14,2057.46,40.39,5.21,1607.46
G344,6.01,48.63,8.09,1430,41.84,6.08,1501.02,54.52,5.11,2577.8
G345,4.57,67.63,7.09,2497.85,35.92,5.64,1614.63,48.03,5.85,2286.03
G346,6.07,53.09,7.49,2364.27,42.19,6.23,1832.4,58.37,6.21,2658.74
G347,4.64,49.92,6.02,1721.41,45.22,5.77,1808.53,56.63,5.97,1553
G348,6.02,48.74,7.45,2478.79,41.76,5.98,1890.91,44.98,5.27,2391.55
G349,4.01,67.61,7.97,3578.15,29.74,5.6,1124.14,42.43,5.28,2040.02
G350,7.03,28.66,5.79,1516.15,30.91,6.95,809.21,50.23,7.71,2045.34
G351,4.56,52.82,7.48,2123.72,38.25,6.47,1408.07,49.36,6.11,1989.36
G352,4.44,61.5,7.41,2791.18,39.03,6.49,1393.56,48.48,6.87,2597.42
G353,4.9,60.65,7.04,2032.05,33.67,6.44,1172.73,53.2,7.14,2687.56
G354,6.04,46.05,6.22,1789.71,35.8,5.99,1552.48,40.33,5.57,2198.36
G355,5.5,47.53,6.43,2217.74,41.11,6.57,1670.39,51.11,5.28,2554.39
G356,5.49,48.16,6.11,1430.19,38.32,6.35,697.6,56.69,6.77,2848.72
G357,6.48,46.41,6.55,1728.77,37.57,6.35,1720.84,56.17,6.57,2720.77
G358,4.07,53.81,7.4,1856.38,38,5.01,1698.38,52.33,5.34,2995.58
G359,8.45,38.42,8.4,1586.35,30.08,8.51,1624.34,53.55,7.81,3882.86
G360,7.47,46.61,8.56,2349.72,28.97,7.1,1641.68,53.52,7.29,3230.81
G361,5.96,46.62,6.97,1876.05,37.38,6.23,1780.59,48.79,5.41,3009.53
G362,6.05,41.53,5.92,936.57,32.01,5.42,580.81,54.67,6.55,2212.72
G363,3.98,62.66,7.39,1988.44,33.8,5.3,1185.2,43.61,4.07,1724.68
G364,6.57,44.4,7.95,2041.2,37.95,7.35,1784.84,54.72,6.04,2980.38
G365,5.39,52.87,5.98,2257.08,43.45,5.74,1879.96,53.2,5.87,2387.85
G366,5.53,62.38,7.06,2030.79,34.63,7.74,1656.1,59.97,6.9,3221.14
G367,2.48,80.71,7,3955.49,41.22,3.83,1049.68,52.56,4.13,1681.2
G368,6.43,43.88,7,1614.96,36.52,6.94,1348.39,54.55,6.58,3209.89
G369,5.39,48.05,7.52,1865.08,34.76,6.12,1579.83,56.12,5.59,2504.72
G370,5.01,48.71,6.13,1711.56,40.07,5.63,1362.55,50.2,4.04,1879.42
G371,6.56,40.66,7.04,2432.09,39.74,5.82,1122.58,50.04,6.39,2929.51
G372,4.95,66.21,8.59,2512.15,31.87,6.64,1329.16,39.57,5.1,1992.99
G373,5.6,48.3,6.44,1174.71,28.91,6.49,1119.88,57.08,6.49,2827.12
G374,5.04,53.22,6.96,1528.87,32.41,6.93,1477.89,59.26,6.46,3478.61
G375,4.45,62.14,7.52,2097.66,37.21,5.28,1276.79,48.87,6.4,2069.68
G376,4,56.54,7.55,3062.96,37.79,5.81,1688.27,48.1,5.71,2090.24
G377,4.52,55.86,6.56,1897.53,46.96,5.52,1219.81,53.22,6.9,2716.65
G378,5.95,53.03,6.48,1924.82,45.25,7.37,1565.26,64.34,7.54,3929.58
G379,4.89,51.82,7.04,2883.55,42.03,5.82,1788.36,57.17,5.5,2367.16
G380,7.47,41.91,8.47,1391.81,29.13,7.57,1425.12,58.91,7.45,2921.31
G381,6.36,46.72,7.55,1854.92,34.7,6.28,1490.66,55.71,5.45,2068.52
G382,6.95,45.96,7.11,1670.43,40.02,6.48,1776.34,51.66,5.85,2983.68
G383,3.91,64.99,7.52,3615.72,33.77,6.12,1309.1,46.59,6.32,2517.39
G384,7.01,50.84,8.42,2164.86,34.3,7.66,1915.58,54.95,8.34,1903.06
G385,5.06,52.29,7.5,1766.29,44.55,6.4,1300.16,52.69,7.03,2184.27
G386,5.45,60.26,7.01,2311.23,34.12,6.54,1498.72,42.69,5.19,1841.1
G387,6.97,48.16,8.55,2082.34,38.31,7.22,1566.42,50.41,6.42,2726.34
G388,5.95,55.13,7.03,2135.44,38.97,6.64,1195.4,59.31,6.21,2740.61
G389,6.96,44.08,7.97,1428.03,39.08,7.73,1978.54,56.83,6.91,3032.33
G390,7.02,36.59,7.02,1352.33,39.34,6.54,917.17,45.24,6.15,1957.47
G391,4.96,56.7,7.44,2340.76,40.57,5.34,1685.32,41.27,5.2,1883.25
G392,5.46,54.19,7.48,2092.19,33.21,6.82,1685.56,52.15,6.06,2291.23
G393,5.57,49.9,7.38,2664.61,47.94,7.08,1851.92,49.14,5.73,2495.53
G394,7.98,41.1,7.92,1248.95,27.28,6.95,1189.21,54.71,6.12,2693.95
G395,6.04,37.02,6.09,1790.2,31.28,5.96,975.55,55.88,5.53,2883.46
G396,3.93,55.18,7.42,1901.67,36.56,6.06,1288.62,62.1,6.58,3057.14
G397,7.54,41.9,6.55,1348.26,31.87,6.55,1380.54,57.25,6.74,3859.93
G398,5.52,52.74,7.68,1882.57,42.38,6.44,1603.55,43.33,5.71,2140.21
G399,5.93,47.36,6.49,1813.91,36.68,7.25,1648.05,51.59,5.96,2442.31
G400,7.51,44.97,8.05,1088.04,34.26,7.73,1881.32,58.9,7.11,3868.74
G401,4.64,46.37,6.39,2243.83,44.2,5.44,1747.38,65.74,5.71,2379.05
G402,4.08,56.39,7.02,2547.92,40.69,6.31,1672.3,49.44,5.32,2593.15
G403,5.02,52.91,7.05,2598.33,38.38,5.55,1361.1,43.59,5.6,1725.63
G404,5.49,58.82,6.49,1549.47,38.81,5.62,1088.45,49.92,5.77,1224.84
G405,4.51,54.25,7.02,2416.25,39.37,5.44,1616.87,43.96,3.53,1748.31
G406,5.49,54.02,5.94,1050.98,34.29,6.18,1171.83,58.85,5.99,3636.24
G407,4.95,53.52,7.45,2607.45,31.06,7.08,2035.47,46.8,4.79,1964
G408,4,60.99,7.46,2069.68,46.86,6.6,2070.18,54.1,6.43,2730.14
G409,5.09,58.59,7.95,2944.91,43.43,6.07,2187.46,44.15,4.92,1848.56
