Entry_name,GH,PH_H1,GC_PreH1,DMY_H1_kgperha,PH_H2,GC_PreH2,DMY_H2_kgperha,PH_H3,GC_PreH3,DMY_H3_kgperha
G1,4.4,11.53,6.06,854.01,17.96,4.53,2148.37,21.93,4.42,2441.49
G2,4.88,10.06,5.12,802.33,16.16,4.75,1539.64,25.19,6.08,3255.55
G3,4.88,9.79,5.95,681.43,14.26,4.36,1069.25,28.17,5.11,4197.44
G4,5.66,10.66,6.75,747.43,16.76,5.93,2292.97,26.66,6.35,3966.79
G5,6.44,9.6,7.28,750.78,17.41,6.01,1876.88,27.64,5.13,3956.18
G6,5.45,8.16,5.24,302.43,14.41,5.31,1150.88,21.4,4.85,2357.32
G7,4.84,12.47,7.55,638.16,19.38,5.72,3768.42,24.44,3.1,2418.36
G8,4.32,11.33,6.38,1042.97,17.98,3.93,2041.96,25.76,3.96,3038.59
G9,7.52,8.89,7.14,320.97,14.65,5.39,1301.42,25.13,4.01,2338.57
G10,4.03,13.17,6.37,1213.69,18.65,4,2178.75,24.42,4.07,2051.15
G11,5.43,9.95,6.35,556.74,20.27,6.14,2555.37,26.17,4.86,3319.01
G12,4.43,11.74,6.55,1042.77,19.13,4.02,1446.03,24.58,4.51,2832.23
G13,4.71,10.05,6.13,724.81,13.21,5,1951.14,20.73,4,2431.97
G14,5.12,12.92,6.26,1158.18,19.34,5.65,3148.2,19.87,3.93,1842.51
G15,3.88,13.96,7.51,1035.56,18.56,3.62,2337.23,22.54,2.91,1947.71
G16,3.4,14.07,7.01,1165.96,22.01,4.56,3187.12,21.24,3.96,2183.79
G17,2.84,15.16,7.12,1415.41,25.13,3.51,3334.45,24.43,2.17,2596.94
G18,2.74,15.38,6.34,1384.82,28.64,4.12,4592.39,26.56,2.93,2667.89
G19,4.67,13.79,6.63,863.92,17.02,4.76,1489.78,20.14,3.16,2605.68
G20,3.85,15.82,7.1,1011.8,21.26,4.62,2285.22,22.06,3.63,1708.23
G21,4.32,11.72,6.59,707.9,19.59,5.61,2708.36,27.75,5.86,3632.33
G22,3.64,15.06,7.22,1028.55,17.77,4.05,2885.82,20.42,3.73,1891.41
G23,2.72,15.17,6.11,1251.12,21.51,3.6,2366.73,24.56,3.1,2064.53
G24,4.07,13.99,7.03,1164,22.76,5.37,3723.9,24.33,4.79,3496.98
G25,3.9,12.15,6.56,897.09,21.79,5.53,2725.5,28.1,4.92,3852.64
G26,3.01,16.15,6.54,1609.56,20.53,3.46,2905.31,21.85,4.53,2690.98
G27,5.78,10.42,6.42,548.04,16.03,6.04,1485.18,28.62,5,3890.1
G28,3.02,15.55,6.99,1195.28,29.13,4.14,2433.25,27.83,3.07,2677.97
G29,4.16,13.42,6.33,772.57,18.2,5.02,1999.47,27.02,4.57,3130.94
G30,3.58,17,6.91,1485.37,23.89,3.97,3552.54,19.35,2.47,2334.67
G31,4.52,12.1,6.04,1501.38,16.99,5.05,2005.7,26.92,4.17,2064.28
G32,3.92,12.15,5.97,631.1,17.25,5.13,1841.71,23.56,5.12,3616.04
G33,5.46,9.85,5.33,535.25,12.74,4.42,1170.9,28.74,4.75,2869.14
G34,2.64,14.47,5.53,1202.04,20.36,3.47,3065.85,21.45,3.57,1859.71
G35,5.53,9.36,6.36,609.41,18.85,5.93,2473.5,29.31,4.49,3203.13
G36,4.53,12.69,6.55,391.19,17.51,5.47,2823.25,24.72,4.12,1826.76
G37,5.11,11.1,7.04,773.1,15.58,5.91,2427.68,26.35,4.43,2550.03
G38,3.37,12.92,6.21,1066.31,17.32,3.67,1486.28,21.9,2.99,1745.13
G39,4.11,12.42,7.43,386.14,14.91,4.86,2361.13,26.29,5.27,4244.67
G40,5.21,10.78,6.63,742.3,17.49,4.5,1938.94,21.96,3,2410.93
G41,6.26,10.24,6.61,629.51,18.05,5.47,1784.66,27.39,6.07,4059.59
G42,6.11,9.06,6.55,526.38,15.97,5.51,2058.43,26.99,3.07,2763.74
G43,6.78,9.54,6.42,321.36,13.19,5.54,1753.71,25.12,5.5,2323.03
G44,5.97,9.67,7.55,513.77,14.42,6.91,2461.79,26.58,6.39,3194.66
